date,close,high,low,open,volume,AD,OBV,ADOSC,MULT,SUM,ASIT,VAR
1991/9/30,180.92,181.95,180.27,180.28,25594,160380.59855567355,-2834.0,-17717.799733977557,32800.1265,5437.6399999999985,111.45147661786487,1.1910160000334145
1991/10/3,182.48,182.48,179.8,181.55,18741,179121.59855567355,15907.0,-11054.970961419895,32809.904,5455.279999999999,84.62176009084679,0.5689360000396846
1991/10/4,184.29,184.29,183.59,184.29,7360,186481.59855567355,23267.0,-4982.452739789966,33833.8011,5473.079999999999,63.26593136818604,1.2210160000322503
1991/10/7,186.0,186.0,185.41,185.95,11369,197850.59855567355,34636.0,1572.118599948677,34486.26,5490.919999999999,44.78537100710085,3.3202560000499943
1991/10/8,187.49,187.61,186.0,187.59,23745,218055.9712264809,58381.0,10539.596488739684,34895.46,5508.5999999999985,30.950363883556207,5.556504000051064
1991/10/9,189.12,189.12,186.31,188.49,20989,239044.9712264809,79370.0,19928.28321699603,35234.9472,5526.209999999997,19.472093974007727,5.4384240000435975
1991/10/10,191.01,191.01,189.12,190.71,6638,245682.9712264809,86008.0,24069.538404283085,36123.8112,5544.029999999999,10.768746138780688,5.493016000051284
1991/10/11,192.85,192.88,191.01,192.84,10981,256311.63967567874,96989.0,26957.397450710443,36842.0088,5561.959999999999,4.408019520885712,5.944984000045223
1991/10/14,194.67,194.69,192.32,194.06,21493,277441.88862082624,118482.0,32411.38286582218,37442.7808,5579.969999999998,0.2077904286173741,6.5484160000414695
1991/10/15,196.61,196.61,194.67,196.58,11002,288443.88862082624,129484.0,35196.705729656795,38274.0687,5598.149999999999,-0.9418282606821508,6.949696000039693
1991/10/16,198.57,198.57,196.61,198.51,9562,298005.88862082624,139046.0,36178.91001671122,39040.8477,5616.499999999997,1.8606819971708248,7.131136000047263
1991/10/17,200.51,200.51,198.57,200.5,6077,304082.88862082624,145123.0,35225.319950805184,39815.2707,5635.039999999997,3.0680053530045117,7.38953600005334
1991/10/18,202.51,202.51,200.51,202.5,2968,307050.88862082624,148091.0,32577.276746497784,40605.2801,5653.859999999999,7.214070005892903,7.667744000063976
1991/10/21,204.53,204.53,202.51,204.53,3537,310587.88862082624,151628.0,29657.824822326715,41419.3703,5672.879999999997,15.922341499397195,7.825504000065847
1991/10/22,206.53,206.53,204.53,206.06,2128,312715.88862082624,153756.0,26444.428596772545,42241.5809,5692.049999999997,27.75802508112865,7.952480000072683
1991/10/23,208.25,208.25,206.53,208.06,2623,315338.88862082624,156379.0,23560.409359339214,43009.8725,5711.059999999999,39.14772698526023,7.611744000067119
1991/10/24,210.07,210.2,208.25,210.2,19357,332114.955287493,175736.0,25576.567305297824,43774.15,5732.799999999997,51.071114179547976,7.10697600007552
1991/10/25,211.86,211.97,209.71,210.34,32650,361586.6367034226,208386.0,33453.56988777692,44452.2287,5757.439999999998,66.39717955145997,6.628256000090913
1991/10/28,213.98,213.98,211.86,213.5,3217,364803.6367034226,211603.0,34658.337318084086,45333.8028,5785.199999999998,88.09780149917586,6.862616000085835
1991/10/29,215.78,215.78,213.98,215.63,2697,367500.6367034226,214300.0,32858.57514702028,46172.6044,5813.189999999998,112.12711064589428,7.203016000086792
1991/10/30,216.43,216.43,215.78,216.37,2380,369880.6367034226,216680.0,29892.43833640142,46701.2654,5839.959999999997,138.5520265743869,5.678264000074705
1991/10/31,218.6,218.6,216.43,218.59,3929,373809.6367034226,220609.0,27211.660701475343,47311.598,5869.909999999997,169.0778954851066,5.193760000081966
1991/11/1,220.72,220.72,218.6,220.71,5906,379715.6367034226,226515.0,25520.373423416982,48249.392,5902.999999999997,199.41491851734227,5.456016000076488
1991/11/4,222.77,222.77,220.79,222.77,4474,384189.6367034226,230989.0,23931.994680264263,49185.3883,5938.8899999999985,227.274105560517,6.841320000094129
1991/11/5,224.65,224.65,222.77,224.44,2805,386994.6367034226,233794.0,21999.067496223262,50045.2805,5977.619999999997,253.94428608434688,8.501784000080079
1991/11/6,226.88,226.88,224.65,226.83,2848,389842.6367034226,236642.0,20114.591148549807,50968.592000000004,6019.499999999997,284.55872324074693,8.401464000082342
1991/11/7,228.93,228.93,226.88,228.93,4833,394675.6367034226,241475.0,19052.84253826982,51939.6384,6064.3499999999985,318.6399125851324,8.434520000089833
1991/11/8,231.22,231.22,228.93,230.99,14406,409081.6367034226,255881.0,21470.14151240344,52933.1946,6112.379999999999,348.45074289762795,8.98052000009193
1991/11/11,233.55,233.55,231.22,233.48,2474,411555.6367034226,258355.0,21294.38731887599,54001.431,6163.5999999999985,372.12125554124304,9.808424000097148
1991/11/12,235.8,235.8,233.55,235.75,895,412450.6367034226,259250.0,19571.407210716974,55071.09,6217.58,393.0683267485698,10.0938640000968
1991/11/13,236.67,236.67,235.8,236.51,799,413249.6367034226,260049.0,17341.56014731404,55806.78599999999,6273.33,410.3300600703057,8.214184000098612
1991/11/14,237.45,237.45,236.67,237.39,862,414111.6367034226,260911.0,15127.117244347932,56197.29149999999,6328.3,422.84597858415236,5.160616000102891
1991/11/15,238.25,238.25,237.45,238.25,2058,416169.6367034226,262969.0,13500.834489102883,56572.4625,6382.26,431.34744712291865,2.6129440001095645
1991/11/18,240.62,240.62,238.25,240.04,1885,418054.6367034226,264854.0,12207.96113567514,57327.715,6436.88,438.839058548765,2.7090960000859923
1991/11/19,242.24,242.24,240.62,242.24,2310,420364.6367034226,267164.0,11304.24375148426,58287.7888,6491.63,443.8471422633637,4.301064000072074
1991/11/20,244.5,244.5,242.24,244.5,2325,422689.6367034226,269489.0,10646.655389634834,59227.68,6547.01,445.7518887505047,6.668856000091183
1991/11/21,246.31,246.31,244.5,246.26,2155,424844.6367034226,271644.0,10095.446024366014,60222.795,6602.31,443.33319785106016,8.02266400008375
1991/11/22,248.53,248.53,246.31,248.24,2133,426977.6367034226,273777.0,9630.865281813722,61215.4243,6657.99,442.2231079275589,7.932200000097509
1991/11/25,250.85,250.85,248.53,250.84,2331,429308.6367034226,276108.0,9306.958134241053,62343.7505,6714.17,441.1940097122044,9.045224000081364
1991/11/26,252.97,252.97,250.85,252.9,2454,431762.6367034226,278562.0,9109.181743484865,63457.5245,6770.530000000002,440.3203750604672,9.242656000096757
1991/11/27,255.45,255.45,252.97,255.27,2120,433882.6367034226,280682.0,8874.71124331333,64621.1865,6827.410000000002,441.2267163668818,10.328896000086386
1991/11/28,257.35,257.35,255.45,257.28,2502,436384.6367034226,283184.0,8768.090471123753,65740.05750000001,6884.250000000001,442.7610881504226,9.904960000079884
1991/11/29,259.6,259.85,257.35,259.68,33695,463340.6367034226,316879.0,16504.282839671298,66872.3975,6941.340000000001,445.6996203345913,9.58614400006627
1991/12/2,262.19,262.19,259.67,261.78,19128,482468.6367034226,336007.0,24254.881277743443,68082.87730000001,6999.000000000001,447.4842194613797,10.230256000068039
1991/12/3,264.81,264.81,262.19,264.64,1101,483569.6367034226,337108.0,25570.909613523574,69430.5339,7057.2800000000025,449.2570998750638,11.14904000007664
1991/12/4,265.77,265.77,264.81,265.53,742,484311.6367034226,337850.0,24020.74760420417,70378.55369999999,7114.800000000001,449.56714238615416,9.902384000102757
1991/12/5,266.66,266.66,265.77,266.48,2050,486361.6367034226,339900.0,21855.158818191267,70870.2282,7171.390000000001,450.755219630551,6.662504000050831
1991/12/6,269.35,269.35,266.66,269.34,1613,487974.6367034226,341513.0,19495.63078589592,71824.87100000001,7228.880000000003,452.08731518613854,5.469104000076187
1991/12/9,270.27,270.27,269.35,270.27,1631,489605.6367034226,343144.0,17276.99379214819,72797.2245,7285.170000000003,451.6422893652424,4.389616000087699
1991/12/10,272.91,272.91,270.27,270.27,516,490121.6367034226,343660.0,14962.915586328892,73759.3857,7342.300000000002,454.25451944478414,6.586336000080338
1991/12/11,273.71,273.71,272.91,273.53,669,490790.6367034226,344329.0,12868.845812463784,74698.1961,7399.580000000003,455.9323864795567,6.440240000069026
1991/12/12,274.41,274.41,273.71,274.41,1577,492367.6367034226,345906.0,11344.058558385876,75108.7611,7455.390000000001,456.32087378889037,3.898240000067744
1991/12/13,277.0,277.0,274.41,276.81,746,493113.6367034226,346652.0,9926.367540046225,76011.57,7511.670000000001,458.05453048363665,4.755040000061854
1991/12/16,277.85,277.85,277.0,277.53,580,493693.6367034226,347232.0,8628.551437994,76964.45000000001,7566.750000000001,457.8712418377011,3.6695840000902535
1991/12/17,278.68,278.68,277.85,278.67,493,494186.6367034226,347725.0,7470.076538245949,77431.23800000001,7620.7800000000025,456.8307225041252,3.766520000106538
1991/12/18,279.51,279.51,278.68,279.32,760,494946.6367034226,348485.0,6558.8753030539365,77893.8468,7673.410000000003,455.8496542013527,3.07052000008116
1991/12/19,280.17,280.17,279.51,279.98,1094,496040.6367034226,349579.0,5937.940679288644,78310.3167,7724.650000000002,454.51071044827387,1.28261600008409
1991/12/20,282.83,282.83,280.63,282.83,4393,500433.6367034226,353972.0,6541.881907813017,79370.5829,7776.260000000001,455.38108685760636,2.891696000078809
1991/12/23,285.65,285.65,282.83,285.65,1046,501479.6367034226,355018.0,6527.050418771803,80790.38949999999,7828.3600000000015,459.4040952198604,6.517136000082246
1991/12/24,286.22,286.22,285.65,285.74,486,501965.6367034226,355504.0,6082.251135184779,81758.743,7878.780000000002,457.38384263475194,7.506384000065736
1991/12/25,287.15,287.15,286.22,287.09,573,502538.6367034226,356077.0,5529.674052336952,82188.073,7929.26,455.7520112075267,6.559024000089266
1991/12/26,288.03,288.03,287.15,288.03,1168,503706.6367034226,357245.0,5172.558513686759,82707.81449999996,7979.84,454.2141823536866,3.1320640001213182
